input1,input2,output
6520,13700,13208
13700,13208,3131
13208,3131,10382
3131,10382,9003
10382,9003,10725
9003,10725,16910
10725,16910,14483
16910,14483,13320
14483,13320,6989
13320,6989,14718
6989,14718,11060
14718,11060,6184
11060,6184,14158
6184,14158,7336
14158,7336,13443
7336,13443,8276
13443,8276,10345
8276,10345,7552
10345,7552,9439
7552,9439,10714
9439,10714,8018
10714,8018,6453
8018,6453,7359
6453,7359,8477
7359,8477,2751
8477,2751,8511
2751,8511,8466
8511,8466,6408
8466,6408,14595
6408,14595,11978
14595,11978,13443
11978,13443,22692
13443,22692,18610
22692,18610,33954
18610,33954,16339
33954,16339,25510
16339,25510,28228
25510,28228,15344
28228,15344,19348
15344,19348,30342
19348,30342,31371
30342,31371,23944
31371,23944,20332
23944,20332,18777
20332,18777,14103
18777,14103,18710
14103,18710,19258
18710,19258,15858
19258,15858,19247
15858,19247,13241
19247,13241,11228
13241,11228,11653
11228,11653,10501
11653,10501,11944
10501,11944,10960
11944,10960,9372
10960,9372,10759
9372,10759,10114
10759,10114,11430
10114,11430,12302
11430,12302,12011
12302,12011,11966
12011,11966,12906
11966,12906,12693
12906,12693,15042
12693,15042,13823
15042,13823,12458
13823,12458,13901
12458,13901,14460
13901,14460,11922
14460,11922,14114
11922,14114,15120
14114,15120,13085
15120,13085,13062
13085,13062,14360
13062,14360,14528
14360,14528,12134
14528,12134,11262
12134,11262,10580
11262,10580,11094
10580,11094,13331
11094,13331,12772
13331,12772,15221
12772,15221,17648
15221,17648,23016
17648,23016,29704
23016,29704,32914
29704,32914,25823
32914,25823,26506
25823,26506,22759
26506,22759,26137
22759,26137,25622
26137,25622,27132
25622,27132,20634
27132,20634,25667
20634,25667,20410
25667,20410,22658
20410,22658,17894
22658,17894,14494
17894,14494,12436
14494,12436,12447
12436,12447,13062
12447,13062,14226
13062,14226,15098
14226,15098,10278
15098,10278,28668
10278,28668,53090
28668,53090,42163
53090,42163,30398
42163,30398,30990
30398,30990,30990
30990,30990,35710
30990,35710,34368
35710,34368,33652
34368,33652,21943
33652,21943,25242
21943,25242,22703
25242,22703,20545
22703,20545,21887
20545,21887,23150
21887,23150,25678
23150,25678,25264
25678,25264,26438
25264,26438,25678
26438,25678,28675
25678,28675,33194
28675,33194,34849
33194,34849,41011
34849,41011,35587
41011,35587,23821
35587,23821,9886
23821,9886,8835
9886,8835,9237
8835,9237,6967
9237,6967,5290
6967,5290,11474
5290,11474,23948
11474,23948,26416
23948,26416,23922
26416,23922,17659
23922,17659,28787
17659,28787,13532
28787,13532,10848
13532,10848,19102
10848,19102,14807
19102,14807,8231
14807,8231,22625
8231,22625,23844
22625,23844,20612
23844,20612,16104
20612,16104,16820
16104,16820,17133
16820,17133,17860
17133,17860,18453
17860,18453,20757
18453,20757,19885
20757,19885,16462
19885,16462,18319
16462,18319,22345
18319,22345,22614
22345,22614,22066
22614,22066,16753
22066,16753,20768
16753,20768,13208
20768,13208,28452
13208,28452,24101
28452,24101,30979
24101,30979,23911
30979,23911,6542
23911,6542,11899
6542,11899,21383
11899,21383,31036
21383,31036,28877
31036,28877,26114
28877,26114,19784
26114,19784,20578
19784,20578,19799
20578,19799,20310
19799,20310,21898
20310,21898,20958
21898,20958,20086
20958,20086,21786
20086,21786,17883
21786,17883,11899
17883,11899,11765
11899,11765,10848
11765,10848,11418
